저자명,발행년도,제목,학회지,논문/단행본
"문순덕, 김원보",2016,제주방언에서 '가지다'의 문법화 현상 연구,언어학연구,논문
"문순덕, 김원보",2017,제주방언 격조사의 담화 기능,언어학연구,논문
"문순덕, 김원보",2018,제주방언 감정 표현 감탄사의 담화 기능,교육과학연구,논문
송상조,2011,"제주말에서 때가림소 '-ㅇ, -ㄴ'과 씨끝들의 호응",한국문화사,단행본
신우봉,2015,제주방언 담화표지 '계메'의 음율적 특성과 담화적 기능의 상관관계,어문연구,논문
신우봉,2019,제주방언 담화표지 '양'의 담화 기능과 운율적 특성,방언학,논문
양용준,2014,다의성과 구조적 중의성의 차이점 연구-제주방언을 중심으로-,언어과학연구,논문
양용준,2019,제주방언 담화표지어 '양'에 대한 연구,언어과학연구,논문
"양창용, 김원보",2013,제주어 '게'의 담화적 기능에 대한 고찰,언어와 언어학,논문
우창현,2011,방언 한국어 교육을 위한 문법 표현 비교 - 시제 선어말어미를 중심으로,영남대학교 인문연구,논문
우창현,2012,방언 한국어 교육을 위한 존대법 비교 - 표준어와 제주 방언을 중심으로 -,언어와 문화,논문
우창현,2016,제주 방언 격조사 교육을 위한 기초 연구 -격조사 의미 해석 방법을 중심으로-,국제어문,논문
우창현,2016,한국어 서술어의 사건 구조-제주 방언을 중심으로-,새국어교육,논문
이기갑,2013,제주방언의 담화표지 '근'과 '에',방언학,논문
정상철,2010,언어접촉과 TAM체계의 변용-제주도방언의 구전설화 자료를 중심으로-,일본연구,논문
정성여,2013,제주방언의 '-ㄴ다'와 관련 어말형식들의 대립에 대하여,방언학,논문
정수빈,2012,현기영 소설에 나타난 제주방언 양상-종결법을 중심으로-,한국교원대 석사학위논문,단행본
"정승철, 김보향",2013,제주방언의 설명의문과 판정의문 - 어미의 중화 현상을 중심으로-,방언학,논문
김미진,2021,제주도 방언의 인용문 연구,탐라문화,논문
김보향,2020,오사카 지역 제주방언 화자의 언어접촉과 언어변화,방언학,논문
김보향,2020,제주방언 보조용언 '-어나다'의 의미 기능에 관한 연구,방언학,논문
김보향,2021,제주방언 연결어미의 세대별 변화 연구,방언학,논문
김보향,2022,제주방언의 명사형어미 '-ㅁ'의 연구,방언학,논문
김보향,2024,제주방언 종결어미 '-라'의 통사의미 기능,인문학연구,논문
김보향,2025,제주방언 '게'의 문법 기능에 관한 고찰,방언학,논문
김지홍,2020,제주 방언의 복합 구문: 접속문과 내포문 1,경진출판,단행본
김지홍,2021,제주 방언의 복합 구문: 접속문과 내포문 2,경진출판,단행본
김지홍,2021,-고' 어미를 매개로 실현된 제주 방언의 내포 구문,한글,논문
문숙영,2025,언어유형론과 방언 문법-제주방언의 부정문을 중심으로,영주어문,논문
신우봉,2022,제주방언 20대 화자의 표준어화 현상 연구-문법 형태소를 중심으로-,어문논집,논문
전예린,2024,제주방언의 명사형 어미 연구,서울대 석사학위논문,단행본
"전예린, 조윤진",2025,제주방언 어미 '-(으)ㄴ게'의 분포 및 의미 기능-증거성(evidentiality)을 중심으로-,,논문
"조윤진, 전예린",2025,"제주방언 간접의문소 ‘-(으)ㄴ디’, ‘-산디’, ‘-(으)ㄴ고라’의 형태·통사적 특성 ",방언학,논문
최대희,2022,"제주 방언의 '-ㅁ, -ㄴ, -ㄹ' 연구",한말연구,논문
"하영우, 신우봉",2022,[제주방언성경]의 형태.통사론적 특징 연구,동남어문논집,논문
현혜림,2020,제주 방언의 종결형에 나타난 시간 표현 연구,제주대 석사학위논문,단행본
김보향,2023,제주방언의 피.사동에 대한 고찰,한국언어문학,논문
